KPRk	Team_Seed	W	L	AdjO	AdjD	AdjT	EMRnk	Ornk	DRnk	TRnk
3	Duke_1	29	5	120.1	88.1	72.2	7	6	6	18
199	NorthDakotaSt_16	18	15	106.6	109.8	64.8	225	127	278	312
37	VCU_8	25	7	104.3	88.6	68.2	117	172	7	136
46	UCF_9	23	8	110.3	95.7	64.8	78	58	36	313
21	MississippiSt_5	23	10	117.4	96.7	67.4	30	14	51	178
63	Liberty_12	28	6	110.6	99.7	61.8	268	56	96	349
11	VirginiaTech_4	24	8	118.4	94	63.3	50	11	25	337
104	SaintLouis_13	23	12	102.6	96.3	66.1	133	205	46	250
24	Maryland_6	22	10	113.8	93.8	65.6	21	27	22	274
54	Belmont_11	26	5	114.8	101.8	71.1	230	20	127	31
18	LSU_3	26	6	118.5	97.5	69.9	40	10	62	66
82	Yale_14	22	7	111.7	103.1	70.7	186	44	149	44
17	Louisville_7	20	13	113.4	92.4	67.1	10	29	17	194
47	Minnesota_10	21	13	110.7	96.2	67.5	16	54	44	176
4	MichiganSt_2	28	6	121.7	90.4	67.4	3	4	8	182
165	Bradley_15	20	14	100.9	101.2	65.1	205	246	117	299

2	Gonzaga_1	30	3	125.1	92.3	69.8	83	1	16	70
209	PrairieViewAM_16	22	12	101.5	105.8	71	338	226	205	34
35	Syracuse_8	20	13	110.2	93.9	66.1	32	61	24	251
41	Baylor_9	19	13	113.5	98.2	65.3	43	28	75	291
27	Marquette_5	24	9	114.2	95.7	68.6	58	23	35	116
52	MurraySt_12	27	4	112	98.7	69	273	41	81	98
14	FloridaSt_4	27	7	113	90.4	68.3	26	31	9	135
80	Vermont_13	27	6	107.9	99.2	65.3	289	103	84	285
22	Buffalo_6	31	3	114.9	94.6	73.8	93	19	29	9
61	ArizonaSt_11	22	10	109.8	98.6	70.5	68	68	79	46
9	TexasTech_3	26	6	112.7	85.9	66.5	53	36	1	226
100	NorthernKentucky_14	26	8	109.2	102.7	67.9	255	77	144	145
25	Nevada_7	29	4	114	95.1	69.2	111	26	33	88
28	Florida_10	19	15	110.2	91.9	62.7	18	60	14	346
5	Michigan_2	28	6	115.5	86.1	64.4	17	18	2	320
137	Montana_15	26	8	107.4	103.8	66.5	299	115	161	225

1	Virginia_1	29	3	123.6	87.9	59.3	29	2	5	353
167	GardnerWebb_16	23	11	107.5	108.2	67.1	265	111	253	196
44	OleMiss_8	20	12	112.8	97.7	68.3	48	33	65	129
38	Oklahoma_9	19	13	109.4	93.9	68.7	12	73	23	112
12	Wisconsin_5	23	10	110.8	87.1	63.6	4	52	3	332
43	Oregon_12	23	12	107.7	92.5	64.1	74	108	18	328
23	KansasSt_4	25	8	108	87.7	63	33	102	4	342
75	UC_Irvine_13	30	5	106.6	97.1	65.1	250	125	58	296
26	Villanova_6	25	9	117	98.2	63.6	54	16	73	333
31	SaintMarys_11	22	11	114.6	96.9	62.6	77	21	55	347
10	Purdue_3	23	9	121.1	95	65.6	8	5	32	276
112	OldDominion_14	26	8	101.9	96.4	64.3	210	216	48	325
32	Cincinnati_7	28	6	111.6	94.5	63.2	73	46	28	338
36	Iowa_10	22	11	117.2	101.2	69.4	28	15	115	82
8	Tennessee_2	29	5	122.5	95.5	67.7	27	3	34	155
129	Colgate_15	24	10	110	105.8	66.3	254	63	202	236

6	NorthCarolina_1	27	6	119.9	90.7	74.3	2	7	10	5
197	Iona_16	17	15	106.5	109.6	70.5	300	132	275	45
34	UtahSt_8	28	6	113	96.3	67.8	145	32	47	151
51	Washington_9	26	8	107	93.6	65.9	67	119	20	263
13	Auburn_5	26	9	119.6	96.2	67.5	25	8	45	166
49	NewMexicoSt_12	30	4	112.6	99	65.6	239	37	83	278
20	Kansas_4	25	9	112.7	92	69.9	1	34	15	64
79	Northeastern_13	23	10	111.5	102.7	66	163	48	145	252
16	IowaSt_6	23	11	119	97.1	67.6	31	9	59	161
45	OhioSt_11	19	14	109.3	94.2	65.7	19	75	27	272
15	Houston_3	31	3	114.1	91.7	66.1	88	24	13	247
111	GeorgiaSt_14	24	9	107.9	102.3	69.9	122	107	137	67
19	Wofford_7	29	4	118.4	97.6	65.6	112	12	63	275
55	SetonHall_10	20	13	109.3	96.4	68.9	41	74	49	102
7	Kentucky_2	27	6	118.2	90.8	65.8	22	13	12	265
145	AbileneChristian_15	27	6	103.6	101.5	66	343	186	119	254
